Column,Value,Frequency
battery_power,1872,6
battery_power,618,6
battery_power,1589,6
battery_power,1715,5
battery_power,1807,5
battery_power,1310,5
battery_power,1083,5
battery_power,1512,5
battery_power,1379,5
battery_power,1949,5
battery_power,772,5
battery_power,1414,5
battery_power,1068,5
battery_power,1330,5
battery_power,504,5
battery_power,1413,5
battery_power,1063,5
battery_power,832,5
battery_power,894,4
battery_power,1254,4
battery_power,999,4
battery_power,1702,4
battery_power,880,4
battery_power,808,4
battery_power,930,4
battery_power,1811,4
battery_power,987,4
battery_power,1762,4
battery_power,713,4
battery_power,825,4
battery_power,659,4
battery_power,793,4
battery_power,511,4
battery_power,1569,4
battery_power,1576,4
battery_power,1562,4
battery_power,1035,4
battery_power,904,4
battery_power,1154,4
battery_power,1225,4
battery_power,989,4
battery_power,623,4
battery_power,1617,4
battery_power,586,4
battery_power,826,4
battery_power,600,4
battery_power,730,4
battery_power,864,4
battery_power,972,4
battery_power,946,4
battery_power,1039,4
battery_power,1494,4
battery_power,912,4
battery_power,1991,4
battery_power,1986,4
battery_power,1602,4
battery_power,1454,4
battery_power,1002,4
battery_power,712,4
battery_power,1375,4
battery_power,1944,4
battery_power,1876,3
battery_power,911,3
battery_power,1066,3
battery_power,1077,3
battery_power,1065,3
battery_power,1829,3
battery_power,1948,3
battery_power,840,3
battery_power,1433,3
battery_power,510,3
battery_power,1965,3
battery_power,1973,3
battery_power,601,3
battery_power,1583,3
battery_power,965,3
battery_power,1442,3
battery_power,721,3
battery_power,728,3
battery_power,767,3
battery_power,1283,3
battery_power,1742,3
battery_power,805,3
battery_power,1444,3
battery_power,1689,3
battery_power,609,3
battery_power,1062,3
battery_power,1524,3
battery_power,959,3
battery_power,1266,3
battery_power,860,3
battery_power,1831,3
battery_power,1278,3
battery_power,1554,3
battery_power,535,3
battery_power,1130,3
battery_power,672,3
battery_power,1703,3
battery_power,574,3
battery_power,1923,3
battery_power,1472,3
battery_power,765,3
battery_power,648,3
battery_power,1660,3
battery_power,664,3
battery_power,1076,3
battery_power,569,3
battery_power,1590,3
battery_power,1122,3
battery_power,1549,3
battery_power,1128,3
battery_power,1836,3
battery_power,915,3
